frame_idx,gen_time,fetch_time,preprocess_time,render_time,total_time,sleep_time,end_to_end_time,datasize,quality_level,quant_mask,diff_thresh
103,0.004432,0.002381,0.021568,0.007736,0.036118,0.000000,0.036118,2103425,2,248,10
104,0.002569,0.002443,0.023797,0.005889,0.034698,0.000000,0.034698,2020427,2,248,10
105,0.002725,0.002078,0.026186,0.006748,0.037737,0.000000,0.037737,1975409,2,248,10
106,0.002624,0.002263,0.025642,0.005878,0.036407,0.000000,0.036407,1963045,2,248,10
107,0.005544,0.001753,0.024894,0.005837,0.038028,0.000000,0.038028,1922511,2,248,10
108,0.005449,0.001571,0.023231,0.007609,0.037860,0.000000,0.037860,1904792,2,248,10
109,0.003243,0.001804,0.021233,0.008198,0.034478,0.000000,0.034478,1868663,2,248,10
110,0.003271,0.003309,0.027235,0.008960,0.042775,0.000000,0.042775,1827936,2,248,10
111,0.003470,0.002386,0.027029,0.021892,0.054777,0.000000,0.054777,2482325,2,248,10
112,0.004796,0.001509,0.026177,0.021571,0.054053,0.000000,0.054053,2466553,2,248,10
113,0.004189,0.001630,0.025681,0.021825,0.053324,0.000000,0.053324,2432446,2,248,10
114,0.005919,0.001581,0.024749,0.021818,0.054067,0.000000,0.054067,2369483,2,248,10
115,0.006321,0.001825,0.024419,0.019276,0.051840,0.000000,0.051840,2315423,2,248,10
116,0.005929,0.001865,0.022351,0.021453,0.051598,0.000000,0.051598,2293852,2,248,10
117,0.003731,0.003039,0.021644,0.023169,0.051583,0.000000,0.051583,2333778,2,248,10
118,0.004039,0.002997,0.024655,0.021602,0.053292,0.000000,0.053292,2247531,2,248,10
119,0.002831,0.002027,0.026604,0.019716,0.051178,0.000000,0.051178,2438292,2,248,10
120,0.002557,0.002288,0.026989,0.019322,0.051157,0.000000,0.051157,2423223,2,248,10
121,0.008004,0.001815,0.024282,0.020111,0.054212,0.000000,0.054212,2455124,2,248,10
122,0.006761,0.001510,0.024017,0.019110,0.051398,0.000000,0.051398,2345189,2,248,10
123,0.005877,0.001839,0.024141,0.018694,0.050551,0.000000,0.050551,2306404,2,248,10
124,0.006420,0.001708,0.022825,0.009745,0.040698,0.000000,0.040698,2229324,2,248,10
125,0.003239,0.002351,0.021427,0.022128,0.049144,0.000000,0.049144,2219869,2,248,10
126,0.003387,0.001464,0.027084,0.007777,0.039713,0.000000,0.039713,2074277,2,248,10
127,0.002573,0.001907,0.027985,0.008060,0.040525,0.000000,0.040525,2079345,2,248,10
128,0.003999,0.001650,0.025235,0.007832,0.038716,0.000000,0.038716,2096652,2,248,10
129,0.003860,0.001799,0.025211,0.019628,0.050497,0.000000,0.050497,2116390,2,248,10
130,0.008869,0.001943,0.022251,0.017366,0.050428,0.000000,0.050428,2136216,2,248,10
131,0.005718,0.001444,0.022371,0.009138,0.038671,0.000000,0.038671,2095986,2,248,10
132,0.004126,0.002674,0.020579,0.006265,0.033644,0.000000,0.033644,2042214,2,248,10
133,0.003029,0.001704,0.027137,0.006311,0.038181,0.000000,0.038181,1990435,2,248,10
134,0.003058,0.002057,0.026798,0.005228,0.037140,0.000000,0.037140,1979814,2,248,10
135,0.002805,0.001557,0.024883,0.008326,0.037570,0.000000,0.037570,1972597,2,248,10
136,0.005612,0.001935,0.023243,0.007750,0.038541,0.000000,0.038541,1925382,2,248,10
137,0.005069,0.003326,0.023474,0.007484,0.039353,0.000000,0.039353,1866221,2,248,10
138,0.003084,0.002760,0.023159,0.005633,0.034637,0.000000,0.034637,1799529,2,248,10
139,0.003643,0.002378,0.026871,0.005480,0.038372,0.000000,0.038372,1754242,2,248,10
140,0.004368,0.001607,0.027603,0.005433,0.039010,0.000000,0.039010,1712301,2,248,10
141,0.004402,0.001833,0.026901,0.005420,0.038557,0.000000,0.038557,1622082,2,248,10
